date,max-temparature,min-temparature,humidity,pressure,precipitation,tot
01-07-2021,31,26,87.25,1000,2.03,16.3
02-07-2021,34,29,50.75,1001,0.26,2.1
03-07-2021,34,28,52.88,1002,0.26,2.5
04-07-2021,35,28,61,1003,0.6,4.8
05-07-2021,25,19,56.75,1015,0.06,0.4
06-07-2021,35,29,46.25,1001,0.21,1.7
07-07-2021,33,29,50.75,1001,0.25,2
08-07-2021,31,28,73.38,1002,0.85,6.8
09-07-2021,32,27,68.13,1000,1.35,10.8
10-07-2021,33,28,52.5,1001,0.05,0.4
11-07-2021,33,28,59.25,1003,0.06,0.5
12-07-2021,34,28,51.75,1003,0.07,0.6
13-07-2021,33,28,74.12,1003,0.3,2.9
14-07-2021,33,28,76.5,1004,0.3,2
15-07-2021,34,28,62.12,1004,0.5,4.4
16-07-2021,34,29,40.75,1005,0.1,0.9
17-07-2021,35,29,53,1004,0.01,0.1
18-07-2021,31,27,77.12,1002,2.9,31.9
19-07-2021,35,29,52.5,1001,0.07,0.6
20-07-2021,35,29,61,999,0.05,0.5
21-07-2021,34,28,61,997.125,0.075,0.6
22-07-2021,32,28,64,995.625,0.2875,2.3
23-07-2021,32,27,69,995.5,1.225,9.8
24-07-2021,34,24,66,998.25,1.525,12.2
25-07-2021,34,29,66,998.75,2.55,20.4
26-07-2021,35,29,67,997.75,0.1375,1.1
27-07-2021,33,29,53,997.375,1.675,13.4
28-07-2021,33,28,74,997,0.0125,25.8
29-07-2021,26,25,100,995.125,21.975,175.8
30-07-2021,33,27,82.75,999,0.375,3
31-07-2021,33,26,65.25,1001.375,0.05,0.4
01-08-2021,33,28,60.75,1000,0.26,2.08
02-08-2021,34,28,69.25,1000.63,0.91,7.28
03-08-2021,33,29,71.88,1000.63,1.43,11.44
04-08-2021,29,27,77.25,1001.63,2.51,20.08
05-08-2021,32,26,77,1000.88,2.7,21.6
06-08-2021,34,28,66.38,999.5,0.48,3.84
07-08-2021,35,29,68.25,1000.38,0.8,6.4
08-08-2021,35,28,63.25,1003,1.04,8.32
09-08-2021,35,29,51.5,1003.13,1.08,8.64
10-08-2021,35,29,39.88,1001.25,0.1,0.8
